"","IDname","Duration","RMS_m","Chdiff_m","Cent_m","Flat_m","Shannon_m","RMS_sd","Chdiff_sd","Cent_sd","Flat_sd","Shannon_sd","RMS_k","Chdiff_k","Cent_k","Flat_k","Shannon_k","Brightness_m","Zerocross_m","Rolloff_m","Spectspread_m","Spectentropy_m","Brightness_sd","Zerocross_sd","Rolloff_sd","Spectspread_sd","Spectentropy_sd","Brightness_k","Zerocross_k","Rolloff_k","Spectspread_k","Spectentropy_k","MIR8","MIR3","MIR7","MIR24","MIR4","MIR5"
"121","121-Electric Acoustic.mp3",56.3983673469388,0.0205381414204018,0.000347683170298335,776.039604780242,0.0524721775027018,0.522781717191072,0.0140468249968209,0.000558198852967277,274.003181429682,0.0295656204291492,0.0966055763532865,0.000251087541140814,-7.55772977999057e-10,-5.4676054849794,-0.000398491082730647,-0.00185750849171339,0.0704442519375,359.821428571429,994.216346071429,1826.91180357143,0.553101986517857,0.0631556537076173,74.0799682697131,508.291052746775,498.853448969215,0.0858195923425373,-0.00110009223755068,1.42084942084942,-5.90210139771329,-8.98772491180339,-0.00160704563804797,7,1,5,18,2,5
"122","122-EMUSIC.mp3",300.068571428571,0.0082428844999013,-0.00167841392947953,1326.02657334853,0.0818161418480832,0.60748713601257,0.00569987968982035,0.00266404898853309,806.313419844376,0.0762773837154321,0.145137561786729,7.71124163446304e-06,1.44094167580411e-07,1.56596810928114,-0.000105770906868503,0.000588991969047017,0.234333694164824,483.273031825796,2338.83679271357,2320.88068311558,0.62990742320938,0.162489928450355,418.151714735929,1920.50021889599,594.81830246026,0.132555896999386,0.000311522513855269,0.879963769901862,4.25829163541126,0.426405825645704,0.000541859448070244,3,1,2,2,3,4
"123","123-Entity.mp3",50.0244897959184,0.0132625824852724,0.000685549316145338,636.487815440861,0.0458868518600783,0.494344537491982,0.00914902873006952,0.00167259154390332,798.989036552568,0.0411636985175582,0.0812801719644662,8.14471602376655e-06,-1.83459587390817e-06,-2.11730459918869,-0.00017795287175414,-0.00101041782591485,0.0675799883479167,229.8125,878.893947635417,1933.2292614375,0.528859406427083,0.09931777734178,129.298130608866,2106.07937665126,773.654045184822,0.0744256146053505,-0.000253846764734808,0.682678829806475,-0.699187408176209,-2.6631370987656,-0.000961728069574066,3,1,2,17,2,5
"124","124-Enviro Bike.mp3",114.57306122449,0.0294835856150682,0.0062642045286883,5927.72154368075,0.106518195382682,0.917830460755098,0.00673203574711787,0.0377488271963889,462.291215748969,0.0298769857367361,0.010118119910828,3.91335734642208e-06,-1.26596014801752e-05,-1.70690914222117,-1.63996578969825e-06,-1.4972610539184e-05,0.743236024627193,3150.59649122807,11166.9019217105,4462.63206057018,0.922633819114035,0.044253753064908,624.239205242737,451.500296789926,146.558422597132,0.00884763638071349,-0.000124750208317597,-1.26941500105804,-1.86708463898116,-0.221045275008943,-1.66953536297797e-05,6,2,1,6,4,2
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","126-Every UK COVID19 data sonification Death by Day - from March 5th 2020 to June 23rd 2020.mp3",607.503673469388,0.0188745473814601,0.000542326518583243,2612.58381409251,0.0703300383022744,0.828563802474154,0.0148563462910382,0.00326349539828445,1065.05073387625,0.0338066366397392,0.051111648642003,3.40626646723678e-05,-5.850967125699e-07,1.46415600013022,-8.44180247724019e-06,8.87772982816581e-05,0.466139539013998,779.025371828521,5677.16518594926,3056.24707809274,0.840007614786527,0.14615212950733,311.287764030673,2304.44045008654,815.044282867374,0.0481963060135833,0.000222250788149129,0.472689052715116,3.23731481827137,1.09286461178905,8.35801373045741e-05,4,3,3,5,1,3
"127","127-Exoplanet WASP-96 b Sonification.mp3",22.5436734693878,0.00653731101115843,-0.000778544095917917,1935.89715171423,0.052067767657616,0.642504018089565,0.00680585404589175,0.0055384836566262,571.219562943475,0.0891060118229275,0.0643985214141897,3.1382838334284e-05,-0.000315498370155067,-35.8076409559566,0.000785288608250737,-0.000857001498163326,0.4534882593,1138.025,3420.145565,2021.0928,0.670253854,0.163479507804186,516.330320007429,1098.95740563592,453.03593165582,0.0417385282170932,-0.00996607360938086,-16.1357410881801,-77.1352270168855,-25.0888542964353,-0.001288560575985,2,3,7,1,3,4
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","129-Extreme Weather in Three Movements.mp3",349.231020408163,0.0606803657288805,0.000407764838537649,287.287527071739,0.10347841218463,0.233076081134974,0.0210293071420435,0.00831537432161015,395.716711636968,0.106492929201458,0.0778927094270163,4.45070158114779e-05,-1.21117280398807e-07,-0.361938312011511,-0.000116457208026202,4.3104592367625e-05,0.0496014245487734,143.751803751804,279.129583177633,2221.18479385281,0.348794012385281,0.0325437164828578,47.1845673531956,859.792033801392,556.43671618786,0.05165510434524,-4.09577911946028e-05,-0.0791305444567925,-0.0204954591977464,-0.653877740596867,2.1563562043888e-05,7,1,5,14,2,5
"130","130-Fathom_ Hudson River Environmental Data as Music.mp3",110.73306122449,0.0203783010935397,-0.000350639534084665,2400.01785947625,0.0718869716403564,0.775090724122185,0.0111232057095164,0.00195411193855705,782.649704416017,0.0262642859861789,0.0678231796382814,4.25753186730934e-05,-9.17862543921613e-06,5.18694970050235,0.000132018061664179,0.000463538727184438,0.400144451309091,894.040909090909,5092.93287890909,3074.66950772727,0.786939472818182,0.119773875794574,482.717727778356,1956.04443134955,613.514053636306,0.0625654163891867,0.0006459885639677,-0.458258622924215,13.8234614805114,4.39217214670101,0.000421690357043441,4,3,3,5,1,3
